branch_id,day,metric,p10,p50,p90,mean,standard_deviation
control,0,life_satisfaction,0.5103545770599628,0.5103545770599628,0.5103545770599628,0.5103545770599628,0.0
control,0,government_trust,0.6682615245131996,0.6682615245131996,0.6682615245131996,0.6682615245131996,0.0
control,0,economic_confidence,0.5759828994374739,0.5764833875307158,0.5769860767897275,0.5764976379827953,0.0003768864047516713
control,0,consumption_index,0.6663902683408442,0.6665554028466697,0.666667855585873,0.6665481133195554,0.00011088078360404563
control,0,employment_rate,0.9331979986894058,0.9331979986894058,0.9331979986894058,0.9331979986894058,0.0
control,0,congestion_index,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0
control,0,health_system_load,0.65,0.65,0.65,0.65,0.0
control,0,rumor_belief,0.13914500403892519,0.14005870516812735,0.14088480508281875,0.13997046889726802,0.0007061259557470547
control,0,stress,0.38359994443479006,0.38387967780121146,0.3840472733036035,0.3838419745076226,0.00019033547173930105
control,0,commute_minutes,23.75918456418818,23.75918456418818,23.75918456418818,23.75918456418818,0.0
control,0,organization_vitality,0.8188504501514056,0.8199462369390556,0.8213029344590558,0.8201119785202848,0.0010210328193908968
control,0,public_service_reliability,0.8391770682109375,0.8399226591678712,0.8407842180083043,0.8400204890842555,0.0007596799555341082
control,0,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,1,life_satisfaction,0.4797487535498147,0.47978607231123105,0.47981511109804326,0.4797842805614305,2.805663819978207e-05
control,1,government_trust,0.6438569606029084,0.6438796242838595,0.6439419922626265,0.6438905242055537,3.7364375127288854e-05
control,1,economic_confidence,0.5576550203683452,0.5581288443356696,0.5586049493408843,0.5581422894023789,0.0003565645123988655
control,1,consumption_index,0.596900139975125,0.5971048195233061,0.5972465697256849,0.5970973770887076,0.00013867959263054233
control,1,employment_rate,0.9331902383785428,0.9332091228067341,0.9332163097436527,0.9332051582114109,1.285761332591532e-05
control,1,congestion_index,0.7555874848545213,0.7563561197752043,0.7579171522131526,0.7566960016119482,0.0015337427382889279
control,1,health_system_load,0.6795412663313612,0.6819241192109022,0.6824052369226914,0.6814427253622091,0.001174971063191352
control,1,rumor_belief,0.1104332306653335,0.11114705748301312,0.1118395028625974,0.11109001894077941,0.0005591579984054334
control,1,stress,0.4030834447413281,0.4033882855342584,0.403477432129716,0.40331149889967743,0.0001748178388256513
control,1,commute_minutes,24.868380577964725,24.87260474841014,24.884331082692157,24.875758870753177,0.011119754845289053
control,1,organization_vitality,0.8187194231423212,0.8197494627227122,0.8210247583915125,0.8199052598090677,0.0009597708502274591
control,1,public_service_reliability,0.8384528754148247,0.8391609658274725,0.8399289161080281,0.8392126850482031,0.0007145074840761271
control,1,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,2,life_satisfaction,0.4491646613017371,0.44923199289167903,0.44928901644870256,0.4492300065746069,5.33581847290307e-05
control,2,government_trust,0.6212981857372403,0.6213356510616683,0.6214568165715595,0.6213586088564229,7.01333656587129e-05
control,2,economic_confidence,0.5403342620836535,0.5407819592541185,0.5412332359765731,0.5407949674394035,0.00033718414252238704
control,2,consumption_index,0.5356643124261411,0.5358974596896688,0.5360628160520396,0.5358909601418098,0.00015960282775627404
control,2,employment_rate,0.9331706599659375,0.9332019127690809,0.9332181515623442,0.9331966546179981,2.3694543641028903e-05
control,2,congestion_index,0.7563227371556086,0.7570719207654782,0.7584930627360286,0.7574106255195756,0.001395597804836562
control,2,health_system_load,0.680169217273244,0.682463151132104,0.6829524382282127,0.6820081016726739,0.0011488217230485002
control,2,rumor_belief,0.08764518677837811,0.08820120321413946,0.08876184622570714,0.08816660054763617,0.00044243566765939573
control,2,stress,0.41909176959008326,0.41938765879829665,0.41946012293827317,0.4193047171839793,0.0001648270462693145
control,2,commute_minutes,24.873605401992297,24.877860231704034,24.888864675927824,24.880853611115167,0.010123785128774902
control,2,organization_vitality,0.818596257753782,0.8195644949593495,0.8207632728880216,0.8197109442205237,0.0009021845992137861
control,2,public_service_reliability,0.8377645483086863,0.8384369541149173,0.8391194272509551,0.8384477437357736,0.0006745478067339252
control,2,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,3,life_satisfaction,0.41899713819441126,0.4190882144349274,0.4191719081651669,0.41908731306132463,7.597511354069337e-05
control,3,government_trust,0.6003661572325736,0.600412336077596,0.6005885250108214,0.6004479928815922,9.898831799162113e-05
control,3,economic_confidence,0.5239655400640805,0.5243878516716083,0.5248154231954333,0.524400612941512,0.00031864263836439813
control,3,consumption_index,0.4816369644268072,0.4818889417084877,0.4820756971556781,0.4818840064236327,0.00017478938321065866
control,3,employment_rate,0.9331638134833038,0.9331987085736613,0.9332309448078886,0.9331947317136838,2.9622918955455783e-05
control,3,congestion_index,0.7570158870420712,0.7578655500673775,0.7590503078073342,0.7580910714015969,0.0012768301644797526
control,3,health_system_load,0.6807683378411497,0.6829737408809944,0.6834702349155412,0.6825452874532009,0.0011222726710500535
control,3,rumor_belief,0.06956410723830153,0.06999478273086195,0.070444346629261,0.06997581994882388,0.0003499059524643274
control,3,stress,0.43227810433481356,0.43252949050942746,0.43264524024574974,0.43247445865089923,0.00015721893479821882
control,3,commute_minutes,24.8785352762682,24.883508938060146,24.893193298333017,24.885710673584267,0.009261617409330488
control,3,organization_vitality,0.8184804822885551,0.8193906252617885,0.8205174765147404,0.8195282875672922,0.0008480535232609314
control,3,public_service_reliability,0.837094906685264,0.8377247723068264,0.8383533329587418,0.8377234297146621,0.0006391558878955171
control,3,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,4,life_satisfaction,0.38943047244137474,0.3895298630554682,0.38964387436485104,0.38953642942751576,9.390157764083479e-05
control,4,government_trust,0.5807940240976224,0.5808409031713995,0.5810696959101603,0.5808911183260417,0.00012387306607207545
control,4,economic_confidence,0.5058847964459594,0.5060256698280572,0.5065157270557111,0.5061302111012024,0.00026962680451571617
control,4,consumption_index,0.43360612653484165,0.4338568430168813,0.4340539969859406,0.43384926578225635,0.00017716663645042855
control,4,employment_rate,0.9315507951259848,0.9316978264555498,0.9317703493036221,0.9316683641117305,9.732523631005694e-05
control,4,congestion_index,0.7565160393220419,0.7573144013041648,0.7584216705874456,0.7575134105547627,0.001162452211464742
control,4,health_system_load,0.6813397906562605,0.6834493086917077,0.6839601362359874,0.6830555929095319,0.0010953569699731097
control,4,rumor_belief,0.05736413063810208,0.05767460309463973,0.05795029297769033,0.05767308701792858,0.0002331889232926608
control,4,stress,0.4432812940822836,0.4434849369352979,0.4436396569027658,0.44346038057878984,0.00014749997547258638
control,4,commute_minutes,24.80299423919385,24.809003104609722,24.82037130301562,24.810800916704544,0.00899585502505227
control,4,organization_vitality,0.8141490221581832,0.8153132075251444,0.8164782359824111,0.8153353459804601,0.0009710557598243164
control,4,public_service_reliability,0.836402086619542,0.8370241455880486,0.8376283400434907,0.8370376214986353,0.00060773479830221
control,4,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,5,life_satisfaction,0.3606770983009898,0.36078359373254154,0.36092561109522336,0.36079557633265014,0.0001144631096308866
control,5,government_trust,0.562432439270384,0.5625018621109629,0.5627723228052092,0.5625578282793102,0.0001505092613980752
control,5,economic_confidence,0.4886026473631333,0.4887185032112773,0.4894363144334484,0.48893836058494655,0.00041067434643948716
control,5,consumption_index,0.3908126297481716,0.39106741557544744,0.39130054543587817,0.39105301592077046,0.00018673478435231682
control,5,employment_rate,0.9299662938444725,0.9302356637542653,0.9303527020131227,0.9301983559297577,0.0001546386762831715
control,5,congestion_index,0.7559961694244259,0.7567735017299866,0.757785770186076,0.7569462404912864,0.0010348578001880102
control,5,health_system_load,0.681884706388046,0.6839115011717275,0.684423582296841,0.6835402767775205,0.0010681233195555734
control,5,rumor_belief,0.047409738693970034,0.04787813146166499,0.04813881304549398,0.047822679023384995,0.0002968491510717679
control,5,stress,0.4525712044348324,0.45271710397133913,0.45290400722185076,0.4527264500111493,0.00013654637987372005
control,5,commute_minutes,24.802783687305705,24.806201142440557,24.82049496642595,24.81010689493158,0.007933178090295158
control,5,organization_vitality,0.8105525638050833,0.8116911645943468,0.8124619317418341,0.8115629006748141,0.0008928018676183861
control,5,public_service_reliability,0.8357488632976394,0.8363617848952194,0.8369432143375818,0.8363883059215587,0.0005797381447769052
control,5,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,6,life_satisfaction,0.332882181711089,0.3329879493586959,0.3331727594643741,0.333015533545907,0.00013055657816810428
