branch_id,day,metric,p10,p50,p90,mean,standard_deviation
control,0,life_satisfaction,0.5120398756811032,0.5120398756811032,0.5120398756811032,0.5120398756811032,0.0
control,0,government_trust,0.6667855803695066,0.6667855803695066,0.6667855803695066,0.6667855803695066,0.0
control,0,economic_confidence,0.5753907055226269,0.5758133603910441,0.5762360152594613,0.5758133603910441,0.0005283185855214922
control,0,consumption_index,0.6662856392573191,0.6664166617611924,0.6665476842650656,0.6664166617611924,0.00016377812984152973
control,0,employment_rate,0.5857542141947042,0.5857542141947042,0.5857542141947042,0.5857542141947042,0.0
control,0,congestion_index,0.8,0.8,0.8,0.8,0.0
control,0,health_system_load,0.65,0.65,0.65,0.65,0.0
control,0,rumor_belief,0.13749370802847669,0.1382243724446699,0.1389550368608631,0.1382243724446699,0.0009133305202415065
control,0,stress,0.3834087969986652,0.38357785557712465,0.3837469141555841,0.38357785557712465,0.00021132322307432228
control,0,commute_minutes,23.512001402248313,23.512001402248313,23.512001402248313,23.512001402248313,0.0
control,0,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,1,life_satisfaction,0.488334046217542,0.48836074230327564,0.48838743838900933,0.48836074230327564,3.3370107167057794e-05
control,1,government_trust,0.6557024909355398,0.6557223102586538,0.6557421295817678,0.6557223102586538,2.477415389257054e-05
control,1,economic_confidence,0.5567495581880718,0.5571463692747208,0.5575431803613699,0.5571463692747208,0.0004960138583113283
control,1,consumption_index,0.5968929259259207,0.5970573067175086,0.5972216875090964,0.5970573067175086,0.00020547598948483792
control,1,employment_rate,0.5857439016192252,0.5857565118755753,0.5857691221319254,0.5857565118755753,1.5762820437692504e-05
control,1,congestion_index,0.3453704545833899,0.3453705236869739,0.34537059279055793,0.3453705236869739,8.637948001322115e-08
control,1,health_system_load,0.1330910342597297,0.1330910342597297,0.1330910342597297,0.1330910342597297,0.0
control,1,rumor_belief,0.10907336519619022,0.10967566879916019,0.11027797240213014,0.10967566879916019,0.0007528795037124517
control,1,stress,0.40013528522182107,0.40031316303520437,0.40049104084858766,0.40031316303520437,0.00022234726672909488
control,1,commute_minutes,21.727248787909048,21.727248873680416,21.72724895945179,21.727248873680416,1.0721421439541247e-07
control,1,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,2,life_satisfaction,0.4643662471880278,0.46441686229140217,0.4644674773947765,0.46441686229140217,6.32688792179259e-05
control,2,government_trust,0.6456420095538105,0.6456774222596156,0.6457128349654205,0.6456774222596156,4.426588225631134e-05
control,2,economic_confidence,0.5391340947893245,0.5395065820155638,0.5398790692418032,0.5395065820155638,0.00046560903279918575
control,2,consumption_index,0.5358494470053512,0.5360393000958961,0.5362291531864409,0.5360393000958961,0.00023731636318108373
control,2,employment_rate,0.5857205047057397,0.5857346653767832,0.5857488260478267,0.5857346653767832,1.77008388044797e-05
control,2,congestion_index,0.34535429321693195,0.34535822173579334,0.3453621502546548,0.34535822173579334,4.910648576744725e-06
control,2,health_system_load,0.1330910342597297,0.1330910342597297,0.1330910342597297,0.1330910342597297,0.0
control,2,rumor_belief,0.08653262689371263,0.0870251347082325,0.08751764252275236,0.0870251347082325,0.0006156347681498323
control,2,stress,0.4137293656299732,0.413909359475385,0.4140893533207967,0.413909359475385,0.0002249923067646764
control,2,commute_minutes,21.72713519855529,21.72716324922255,21.727191299889814,21.72716324922255,3.506333407621298e-05
control,2,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,3,life_satisfaction,0.44052775100426017,0.4405994021814036,0.44067105335854695,0.4405994021814036,8.956397142925732e-05
control,3,government_trust,0.6364369245776731,0.6364844180512979,0.6365319115249227,0.6364844180512979,5.9366842030950107e-05
control,3,economic_confidence,0.5224890554953648,0.5228388576531353,0.5231886598109057,0.5228388576531353,0.00043725269721300863
control,3,consumption_index,0.48207823906979974,0.4822868463783604,0.4824954536869211,0.4822868463783604,0.000260759135700811
control,3,employment_rate,0.5857456226549054,0.5857552814861764,0.5857649403174475,0.5857552814861764,1.2073539088885978e-05
control,3,congestion_index,0.3453523682676151,0.3453641799263254,0.34537599158503574,0.3453641799263254,1.476457338786541e-05
control,3,health_system_load,0.1330910342597297,0.1330910342597297,0.1330910342597297,0.1330910342597297,0.0
control,3,rumor_belief,0.06865669041214009,0.06905700658312997,0.06945732275411984,0.06905700658312997,0.000500395213737348
control,3,stress,0.424796459481481,0.42497400073395164,0.42515154198642235,0.42497400073395164,0.0002219265655883651
control,3,commute_minutes,21.72711613662989,21.727202926815423,21.72728971700096,21.727202926815423,0.00010848773191973748
control,3,policy_cost_100m_cny,0.0,0.0,0.0,0.0,0.0
control,4,life_satisfaction,0.41700272953026596,0.4171015052482612,0.4172002809662564,0.4171015052482612,0.00012346964749399003
control,4,government_trust,0.6278706912484171,0.6279342218413825,0.6279977524343479,0.6279342218413825,7.941324120674942e-05
control,4,economic_confidence,0.5041161693024068,0.5046633013089741,0.5052104333155414,0.5046633013089741,0.0006839150082090795
control,4,consumption_index,0.4343415942190676,0.4345879303301132,0.43483426644115886,0.4345879303301132,0.0003079201388070385
