branch_id,candidate_id,day,first_occurrence_probability,cumulative_probability
control,reputation_escalation,25,0.0078125,0.31787109375
control,reputation_escalation,26,0.0068359375,0.32470703125
control,reputation_escalation,27,0.0078125,0.33251953125
control,reputation_escalation,28,0.00634765625,0.3388671875
control,reputation_escalation,29,0.0087890625,0.34765625
control,reputation_escalation,30,0.00439453125,0.35205078125
control,reputation_escalation,31,0.0,0.35205078125
control,reputation_escalation,32,0.0,0.35205078125
control,reputation_escalation,33,0.0,0.35205078125
control,reputation_escalation,34,0.0,0.35205078125
control,reputation_escalation,35,0.0,0.35205078125
control,reputation_escalation,36,0.0,0.35205078125
control,reputation_escalation,37,0.0,0.35205078125
control,reputation_escalation,38,0.0,0.35205078125
control,reputation_escalation,39,0.0,0.35205078125
control,reputation_escalation,40,0.0,0.35205078125
control,reputation_escalation,41,0.0,0.35205078125
control,reputation_escalation,42,0.0,0.35205078125
control,reputation_escalation,43,0.0,0.35205078125
control,reputation_escalation,44,0.0,0.35205078125
control,reputation_escalation,45,0.0,0.35205078125
control,policy_support,1,0.0,0.0
control,policy_support,2,0.0,0.0
control,policy_support,3,0.0078125,0.0078125
control,policy_support,4,0.00390625,0.01171875
control,policy_support,5,0.005859375,0.017578125
control,policy_support,6,0.0068359375,0.0244140625
control,policy_support,7,0.0029296875,0.02734375
control,policy_support,8,0.00634765625,0.03369140625
control,policy_support,9,0.0078125,0.04150390625
control,policy_support,10,0.00634765625,0.0478515625
control,policy_support,11,0.01025390625,0.05810546875
control,policy_support,12,0.00390625,0.06201171875
control,policy_support,13,0.00537109375,0.0673828125
control,policy_support,14,0.0048828125,0.072265625
control,policy_support,15,0.00927734375,0.08154296875
control,policy_support,16,0.005859375,0.08740234375
control,policy_support,17,0.0068359375,0.09423828125
control,policy_support,18,0.0087890625,0.10302734375
control,policy_support,19,0.01611328125,0.119140625
control,policy_support,20,0.01025390625,0.12939453125
control,policy_support,21,0.00830078125,0.1376953125
control,policy_support,22,0.01318359375,0.15087890625
control,policy_support,23,0.01318359375,0.1640625
control,policy_support,24,0.0087890625,0.1728515625
control,policy_support,25,0.009765625,0.1826171875
control,policy_support,26,0.009765625,0.1923828125
control,policy_support,27,0.01220703125,0.20458984375
control,policy_support,28,0.01123046875,0.2158203125
control,policy_support,29,0.00634765625,0.22216796875
control,policy_support,30,0.009765625,0.23193359375
control,policy_support,31,0.00537109375,0.2373046875
control,policy_support,32,0.009765625,0.2470703125
control,policy_support,33,0.00927734375,0.25634765625
control,policy_support,34,0.01025390625,0.2666015625
control,policy_support,35,0.005859375,0.2724609375
control,policy_support,36,0.0048828125,0.27734375
control,policy_support,37,0.00830078125,0.28564453125
control,policy_support,38,0.0029296875,0.28857421875
control,policy_support,39,0.009765625,0.29833984375
control,policy_support,40,0.005859375,0.30419921875
control,policy_support,41,0.0068359375,0.31103515625
control,policy_support,42,0.0078125,0.31884765625
control,policy_support,43,0.0068359375,0.32568359375
control,policy_support,44,0.00537109375,0.3310546875
control,policy_support,45,0.0087890625,0.33984375
early_response,demand_downturn,1,0.02734375,0.02734375
early_response,demand_downturn,2,0.0263671875,0.0537109375
early_response,demand_downturn,3,0.0302734375,0.083984375
early_response,demand_downturn,4,0.02197265625,0.10595703125
early_response,demand_downturn,5,0.02197265625,0.1279296875
early_response,demand_downturn,6,0.02734375,0.1552734375
early_response,demand_downturn,7,0.02001953125,0.17529296875
early_response,demand_downturn,8,0.02197265625,0.197265625
early_response,demand_downturn,9,0.015625,0.212890625
early_response,demand_downturn,10,0.01806640625,0.23095703125
early_response,demand_downturn,11,0.01953125,0.25048828125
early_response,demand_downturn,12,0.01806640625,0.2685546875
early_response,demand_downturn,13,0.01318359375,0.28173828125
early_response,demand_downturn,14,0.01904296875,0.30078125
early_response,demand_downturn,15,0.013671875,0.314453125
early_response,demand_downturn,16,0.01611328125,0.33056640625
early_response,demand_downturn,17,0.0107421875,0.34130859375
early_response,demand_downturn,18,0.01123046875,0.3525390625
early_response,demand_downturn,19,0.01171875,0.3642578125
early_response,demand_downturn,20,0.0107421875,0.375
early_response,demand_downturn,21,0.01220703125,0.38720703125
early_response,demand_downturn,22,0.01953125,0.40673828125
early_response,demand_downturn,23,0.009765625,0.41650390625
early_response,demand_downturn,24,0.013671875,0.43017578125
early_response,demand_downturn,25,0.0107421875,0.44091796875
early_response,demand_downturn,26,0.01318359375,0.4541015625
early_response,demand_downturn,27,0.0087890625,0.462890625
early_response,demand_downturn,28,0.00927734375,0.47216796875
early_response,demand_downturn,29,0.0078125,0.47998046875
early_response,demand_downturn,30,0.0068359375,0.48681640625
early_response,demand_downturn,31,0.01123046875,0.498046875
early_response,demand_downturn,32,0.00537109375,0.50341796875
early_response,demand_downturn,33,0.0078125,0.51123046875
early_response,demand_downturn,34,0.005859375,0.51708984375
early_response,demand_downturn,35,0.00634765625,0.5234375
early_response,demand_downturn,36,0.0,0.5234375
early_response,demand_downturn,37,0.0,0.5234375
early_response,demand_downturn,38,0.0,0.5234375
early_response,demand_downturn,39,0.0,0.5234375
early_response,demand_downturn,40,0.0,0.5234375
early_response,demand_downturn,41,0.0,0.5234375
early_response,demand_downturn,42,0.0,0.5234375
early_response,demand_downturn,43,0.0,0.5234375
early_response,demand_downturn,44,0.0,0.5234375
early_response,demand_downturn,45,0.0,0.5234375
early_response,production_adjustment,1,0.0,0.0
early_response,production_adjustment,2,0.00390625,0.00390625
early_response,production_adjustment,3,0.001953125,0.005859375
early_response,production_adjustment,4,0.0048828125,0.0107421875
early_response,production_adjustment,5,0.00244140625,0.01318359375
early_response,production_adjustment,6,0.00634765625,0.01953125
early_response,production_adjustment,7,0.0068359375,0.0263671875
early_response,production_adjustment,8,0.00927734375,0.03564453125
early_response,production_adjustment,9,0.0048828125,0.04052734375
early_response,production_adjustment,10,0.00927734375,0.0498046875
early_response,production_adjustment,11,0.00732421875,0.05712890625
early_response,production_adjustment,12,0.00537109375,0.0625
early_response,production_adjustment,13,0.01123046875,0.07373046875
early_response,production_adjustment,14,0.00439453125,0.078125
early_response,production_adjustment,15,0.00439453125,0.08251953125
early_response,production_adjustment,16,0.00439453125,0.0869140625
early_response,production_adjustment,17,0.00537109375,0.09228515625
early_response,production_adjustment,18,0.0068359375,0.09912109375
early_response,production_adjustment,19,0.00390625,0.10302734375
early_response,production_adjustment,20,0.0068359375,0.10986328125
early_response,production_adjustment,21,0.0068359375,0.11669921875
early_response,production_adjustment,22,0.0068359375,0.12353515625
early_response,production_adjustment,23,0.00732421875,0.130859375
early_response,production_adjustment,24,0.0068359375,0.1376953125
early_response,production_adjustment,25,0.00537109375,0.14306640625
early_response,production_adjustment,26,0.0068359375,0.14990234375
early_response,production_adjustment,27,0.0078125,0.15771484375
early_response,production_adjustment,28,0.00634765625,0.1640625
early_response,production_adjustment,29,0.005859375,0.169921875
early_response,production_adjustment,30,0.0048828125,0.1748046875
